date,time,name,gender,city,userLevel,score,content
2019-11-28,2019-11-28 22:05:33,高高🔝,0,长春,2,5,有限和无限的定义在每个人的认知里都是不同的，有些人把原本局限的生活扩大到无限，而有些人在有限的空间创造了无限的想象！有限的生活却有着无限的可能，每个人都有不一样的故事，只要心中有个期盼，就会成为第一个看到希望的人。
2019-11-28,2019-11-28 21:58:21,Hou.晓燕,2,北京,4,5,很感人。他的音乐才华只属于船上的安全，即使与船同归于尽，也不会接受下船的迷茫。虽然是悲剧，但音乐之美贯穿全片，美的享受、虽然美的短暂。
2019-11-28,2019-11-28 21:54:12,星星,0,郑州,2,5,记得《怦然心动》中曾有过一句话，他将人用各种颜色来形容，1900绝对是我无比确定的彩虹般绚烂的人。
2019-11-28,2019-11-28 21:28:49,莲花童子哪吒,1,闽侯县,3,5,太好看了看哭了
2019-11-28,2019-11-28 21:26:01,KOFTA,0,合川,3,5,太好看了（*˙︶˙* )
2019-11-28,2019-11-28 21:25:42,黄兄台,1,高州,2,4,剧照不错；但看到我有点眼困
2019-11-28,2019-11-28 21:23:09,SvQ599633124,0,吉林,1,4,辩证的分析一下这部影片，个人认为电影拍摄的场景单一，人物对话少，没有主题音乐。不过，故事寓意深刻，影片中钢琴曲扣人心弦()也许这是这部电影另外要表达的意义吧)。男主角外表挺帅，用眼神睛和手指诠释着生活。影片中的台词也叫好大概意思是“钢琴的琴键是有限的，可以掌控，，外面的世界那么大路那没多，怎么选择”，“secrets should be kept”等等。总之总的来说没让我失望。
2019-11-28,2019-11-28 21:22:44,🦄QQQB,2,北京,2,5,好的故事比旧乐器还值钱
2019-11-28,2019-11-28 21:21:47,庚悦  曲思羽,2,石家庄,2,5,值得看的一部片子，一场电影，一位人物，一个故事！故事到中间的时候我很压抑，当他决定下船的时候，我的内心是激动的，我当时特别想让他真的下船感受陆地。他说:在城市里我看不到尽头，在船上的人都有梦想那也是船头到船尾的距离。就像我可以在船上看到尽头，就像钢琴有八十八个按键！有开始就有结束……就让我在船上结束
2019-11-28,2019-11-28 21:18:31,ALO封落,0,株洲,2,5,认真看完其实真的不错，暗示了城市的喧嚣
2019-11-28,2019-11-28 21:17:37,小妮子vvw,0,长沙,2,4.5,看睡着了，但不代表影片不好
2019-11-28,2019-11-28 21:16:29,leolu724,1,上海,4,4,剧情片，温暖路线
2019-11-28,2019-11-28 21:16:26,美团5799,0,济南,2,5,随着好听的钢琴曲享受了2个小时的美好时光，却又在最后随着那一声爆炸声陷入了沉思。反思我们这些俗人，欲望那么多，想要的那么多，却很少静下来聆听自己的内心。1900，他也许是天才，也许只是一个沉浸在自己世界里的另类。音乐是他的语言，钢琴是他的全世界。心疼他，又嫉妒他。
